"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0.5",0.0059,20,"0","N2",0.005,0.022,0.0519189570887929,-0.0469189570887929,-0.0299189570887929
"0.5",0.2117,20,"0.2","N2",0.039,0.12,0.161754947635636,-0.122754947635636,-0.0417549476356364
"0.5",0.3283,20,"0.4","N2",0.098,0.267,0.265940766879974,-0.167940766879974,0.0010592331200262
"0.5",0.3736,20,"0.6","N2",0.189,0.368,0.31403195012259,-0.12503195012259,0.0539680498774099
"0.5",0.445,20,"0.8","N2",0.327,0.458,0.396380872887335,-0.0693808728873348,0.0616191271126652
"0.5",0.0119,50,"0","N2",0.002,0.018,0.0563965379446899,-0.0543965379446899,-0.0383965379446899
"0.5",0.2284,50,"0.2","N2",0.134,0.385,0.304768271585789,-0.170768271585789,0.0802317284142106
"0.5",0.3159,50,"0.4","N2",0.278,0.584,0.469603015544183,-0.191603015544183,0.114396984455817
"0.5",0.3707,50,"0.6","N2",0.467,0.714,0.577628035042609,-0.110628035042609,0.136371964957391
"0.5",0.4314,50,"0.8","N2",0.641,0.777,0.690482249537468,-0.0494822495374684,0.0865177504625316
"0.5",0.0013,80,"0","N2",0.003,0.023,0.0508500514077108,-0.0478500514077108,-0.0278500514077108
"0.5",0.2231,80,"0.2","N2",0.205,0.53,0.405208379471423,-0.200208379471423,0.124791620528577
"0.5",0.3172,80,"0.4","N2",0.481,0.786,0.63784126314328,-0.15684126314328,0.14815873685672
"0.5",0.3785,80,"0.6","N2",0.669,0.887,0.769961705379338,-0.100961705379338,0.117038294620662
"0.5",0.4348,80,"0.8","N2",0.816,0.909,0.862859810760646,-0.046859810760646,0.046140189239354
"0.5",-0.0061,110,"0","N2",0.002,0.029,0.0455185415836069,-0.0435185415836069,-0.0165185415836069
"0.5",0.2182,110,"0.2","N2",0.267,0.639,0.487370454771672,-0.220370454771671,0.151629545228328
"0.5",0.3092,110,"0.4","N2",0.63,0.847,0.739274398476806,-0.109274398476806,0.107725601523194
"0.5",0.3769,110,"0.6","N2",0.806,0.948,0.873194241071053,-0.0671942410710533,0.0748057589289466
"0.5",0.4324,110,"0.8","N2",0.913,0.965,0.939661153812526,-0.0266611538125263,0.0253388461874736
"0.7",-0.0072,20,"0","N2",0.004,0.014,0.0477353058091484,-0.0437353058091484,-0.0337353058091484
"0.7",0.2961,20,"0.2","N2",0.075,0.202,0.234183320335036,-0.159183320335036,-0.0321833203350357
"0.7",0.4415,20,"0.4","N2",0.225,0.459,0.392198038145719,-0.167198038145719,0.0668019618542807
"0.7",0.5238,20,"0.6","N2",0.357,0.554,0.492806176498783,-0.135806176498783,0.0611938235012167
"0.7",0.5856,20,"0.8","N2",0.505,0.654,0.569012058499344,-0.0640120584993439,0.0849879415006561
"0.7",-0.005,50,"0","N2",0.003,0.025,0.047491182997809,-0.044491182997809,-0.022491182997809
"0.7",0.2942,50,"0.2","N2",0.258,0.551,0.427000835620167,-0.169000835620167,0.123999164379833
"0.7",0.4361,50,"0.4","N2",0.534,0.775,0.698661293899504,-0.164661293899504,0.0763387061004956
"0.7",0.527,50,"0.6","N2",0.783,0.919,0.834446190317094,-0.0514461903170944,0.0845538096829056
"0.7",0.5949,50,"0.8","N2",0.888,0.952,0.904735036907907,-0.0167350369079068,0.0472649630920932
"0.7",-0.006,80,"0","N2",0.002,0.028,0.0462225135242453,-0.0442225135242453,-0.0182225135242453
"0.7",0.3098,80,"0.2","N2",0.411,0.71,0.620233512216192,-0.209233512216192,0.0897664877838081
"0.7",0.435,80,"0.4","N2",0.782,0.879,0.863136031560365,-0.0811360315603653,0.0158639684396347
"0.7",0.5291,80,"0.6","N2",0.935,0.984,0.954206873280354,-0.0192068732803541,0.0297931267196458
"0.7",0.6008,80,"0.8","N2",0.986,0.995,0.983765886027315,0.00223411397268547,0.0112341139726855
"0.7",-0.0028,110,"0","N2",0,0.045,0.0479010751359831,-0.0479010751359831,-0.00290107513598307
"0.7",0.3133,110,"0.2","N2",0.584,0.77,0.74902403258909,-0.16502403258909,0.0209759674109096
"0.7",0.4324,110,"0.4","N2",0.913,0.9,0.939661153812526,-0.0266611538125263,-0.0396611538125263
"0.7",0.5137,110,"0.6","N2",0.98,0.997,0.984340181142773,-0.00434018114277257,0.0126598188572274
"0.7",0.5911,110,"0.8","N2",1,1,0.996786919673523,0.00321308032647671,0.00321308032647671
"0",0.0044,20,"0","N4",0.013,0.004,0.0514256255454962,-0.0384256255454962,-0.0474256255454962
"0",-0.0164,20,"0.2","N4",0.022,0.02,0.044961873300681,-0.022961873300681,-0.024961873300681
"0",5e-04,20,"0.4","N4",0.042,0.035,0.0501603986209764,-0.00816039862097643,-0.0151603986209764
"0",0.0049,20,"0.6","N4",0.016,0.045,0.0515896535300304,-0.0355896535300304,-0.00658965353003042
"0",0.0132,20,"0.8","N4",0.036,0.056,0.0543737322487676,-0.0183737322487676,0.00162626775123238
"0",-0.0077,50,"0","N4",0.017,0.013,0.0461789517350493,-0.0291789517350493,-0.0331789517350493
"0",-0.0094,50,"0.2","N4",0.026,0.036,0.0453677798468892,-0.0193677798468892,-0.00936777984688923
"0",-0.003,50,"0.4","N4",0.04,0.048,0.0484823339507656,-0.00848233395076562,-0.00048233395076562
"0",0.0157,50,"0.6","N4",0.022,0.054,0.0585697600031645,-0.0365697600031645,-0.0045697600031645
"0",0.0086,50,"0.8","N4",0.038,0.065,0.0545612790864234,-0.0165612790864234,0.0104387209135766
"0",-0.0056,80,"0","N4",0.016,0.021,0.0464670017187219,-0.0304670017187219,-0.0254670017187219
"0",0.004,80,"0.2","N4",0.023,0.039,0.0526522911583864,-0.0296522911583864,-0.0136522911583864
"0",-0.0056,80,"0.4","N4",0.033,0.05,0.0464670017187219,-0.0134670017187219,0.00353299828127814
"0",0.0092,80,"0.6","N4",0.024,0.057,0.0562657974947889,-0.0322657974947889,0.000734202505211119
"0",0.0019,80,"0.8","N4",0.031,0.043,0.0512462443534359,-0.0202462443534359,-0.00824624435343595
"0",-0.0014,110,"0","N4",0.009,0.021,0.0489415481058668,-0.0399415481058668,-0.0279415481058668
"0",-0.0043,110,"0.2","N4",0.019,0.05,0.0468060112862064,-0.0278060112862064,0.00319398871379357
"0",-0.0017,110,"0.4","N4",0.04,0.036,0.0487170827457398,-0.00871708274573983,-0.0127170827457398
"0",0.0025,110,"0.6","N4",0.017,0.052,0.0519354233454602,-0.0349354233454602,6.4576654539801e-05
"0",-4e-04,110,"0.8","N4",0.027,0.05,0.0496957391900033,-0.0226957391900033,0.000304260809996751
"0.3",-7e-04,20,"0","N4",0.025,0.009,0.0497761292479744,-0.0247761292479744,-0.0407761292479744
"0.3",0.1354,20,"0.2","N4",0.071,0.081,0.110426922804357,-0.0394269228043567,-0.0294269228043567
"0.3",0.1844,20,"0.4","N4",0.141,0.144,0.141845709173815,-0.000845709173815129,0.00215429082618487
"0.3",0.2336,20,"0.6","N4",0.098,0.197,0.178982017583802,-0.0809820175838019,0.0180179824161981
"0.3",0.2393,20,"0.8","N4",0.137,0.211,0.183648498060673,-0.0466484980606727,0.0273515019393273
"0.3",-0.0066,50,"0","N4",0.016,0.011,0.0467100059862365,-0.0307100059862365,-0.0357100059862365
"0.3",0.1343,50,"0.2","N4",0.145,0.213,0.164041638869946,-0.0190416388699458,0.0489583611300542
"0.3",0.1939,50,"0.4","N4",0.296,0.358,0.247606386569371,0.0483936134306294,0.110393613430629
"0.3",0.2382,50,"0.6","N4",0.23,0.4,0.32201397729113,-0.0920139772911297,0.0779860227088703
"0.3",0.2615,50,"0.8","N4",0.311,0.414,0.364528020305439,-0.0535280203054394,0.0494719796945606
"0.3",0.0013,80,"0","N4",0.017,0.023,0.0508500514077108,-0.0338500514077108,-0.0278500514077108
"0.3",0.1284,80,"0.2","N4",0.209,0.319,0.201505710258423,0.00749428974157687,0.117494289741577
"0.3",0.1872,80,"0.4","N4",0.37,0.468,0.320620082072895,0.0493799179271046,0.147379917927105
"0.3",0.2339,80,"0.6","N4",0.337,0.565,0.431767307465354,-0.0947673074653542,0.133232692534646
"0.3",0.2698,80,"0.8","N4",0.485,0.588,0.521611938998076,-0.0366119389980759,0.0663880610019241
"0.3",0.0078,110,"0","N4",0.016,0.024,0.0562352044317528,-0.0402352044317528,-0.0322352044317528
"0.3",0.1329,110,"0.2","N4",0.288,0.426,0.253890047578344,0.0341099524216562,0.172109952421656
"0.3",0.185,110,"0.4","N4",0.511,0.61,0.390845919252392,0.120154080747608,0.219154080747608
"0.3",0.2288,110,"0.6","N4",0.447,0.687,0.518625536207834,-0.0716255362078336,0.168374463792166
"0.3",0.2653,110,"0.8","N4",0.586,0.698,0.624208596564951,-0.0382085965649513,0.0737914034350486
"0.5",0.0059,20,"0","N4",0.014,0.01,0.0519189570887929,-0.0379189570887929,-0.0419189570887929
"0.5",0.2117,20,"0.2","N4",0.136,0.151,0.161754947635636,-0.0257549476356363,-0.0107549476356364
"0.5",0.3283,20,"0.4","N4",0.26,0.291,0.265940766879974,-0.0059407668799738,0.0250592331200262
"0.5",0.3736,20,"0.6","N4",0.231,0.396,0.31403195012259,-0.0830319501225901,0.0819680498774099
"0.5",0.445,20,"0.8","N4",0.356,0.462,0.396380872887335,-0.0403808728873348,0.0656191271126652
"0.5",0.0119,50,"0","N4",0.012,0.019,0.0563965379446899,-0.0443965379446899,-0.0373965379446899
"0.5",0.2284,50,"0.2","N4",0.351,0.454,0.304768271585789,0.0462317284142105,0.149231728414211
"0.5",0.3159,50,"0.4","N4",0.575,0.621,0.469603015544183,0.105396984455817,0.151396984455817
"0.5",0.3707,50,"0.6","N4",0.543,0.737,0.577628035042609,-0.0346280350426088,0.159371964957391
"0.5",0.4314,50,"0.8","N4",0.68,0.787,0.690482249537468,-0.0104822495374683,0.0965177504625316
"0.5",0.0013,80,"0","N4",0.014,0.019,0.0508500514077108,-0.0368500514077108,-0.0318500514077108
"0.5",0.2231,80,"0.2","N4",0.508,0.636,0.405208379471423,0.102791620528577,0.230791620528577
"0.5",0.3172,80,"0.4","N4",0.774,0.821,0.63784126314328,0.13615873685672,0.18315873685672
"0.5",0.3785,80,"0.6","N4",0.761,0.913,0.769961705379338,-0.00896170537933827,0.143038294620662
"0.5",0.4348,80,"0.8","N4",0.863,0.926,0.862859810760646,0.000140189239353994,0.063140189239354
"0.5",-0.0061,110,"0","N4",0.015,0.022,0.0455185415836069,-0.0305185415836069,-0.0235185415836069
"0.5",0.2182,110,"0.2","N4",0.631,0.733,0.487370454771672,0.143629545228328,0.245629545228328
"0.5",0.3092,110,"0.4","N4",0.872,0.869,0.739274398476806,0.132725601523194,0.129725601523194
"0.5",0.3769,110,"0.6","N4",0.877,0.959,0.873194241071053,0.00380575892894663,0.0858057589289466
"0.5",0.4324,110,"0.8","N4",0.933,0.969,0.939661153812526,-0.0066611538125263,0.0293388461874736
"0.7",-0.0072,20,"0","N4",0.01,0.006,0.0477353058091484,-0.0377353058091484,-0.0417353058091484
"0.7",0.2961,20,"0.2","N4",0.283,0.281,0.234183320335036,0.0488166796649642,0.0468166796649643
"0.7",0.4415,20,"0.4","N4",0.497,0.502,0.392198038145719,0.104801961854281,0.109801961854281
"0.7",0.5238,20,"0.6","N4",0.416,0.584,0.492806176498783,-0.0768061764987834,0.0911938235012166
"0.7",0.5856,20,"0.8","N4",0.559,0.661,0.569012058499344,-0.0100120584993438,0.0919879415006561
"0.7",-0.005,50,"0","N4",0.015,0.022,0.047491182997809,-0.032491182997809,-0.025491182997809
"0.7",0.2942,50,"0.2","N4",0.619,0.645,0.427000835620167,0.191999164379833,0.217999164379833
"0.7",0.4361,50,"0.4","N4",0.846,0.81,0.698661293899504,0.147338706100496,0.111338706100496
"0.7",0.527,50,"0.6","N4",0.859,0.933,0.834446190317094,0.0245538096829055,0.0985538096829056
"0.7",0.5949,50,"0.8","N4",0.915,0.959,0.904735036907907,0.0102649630920932,0.0542649630920932
"0.7",-0.006,80,"0","N4",0.011,0.016,0.0462225135242453,-0.0352225135242453,-0.0302225135242453
"0.7",0.3098,80,"0.2","N4",0.81,0.744,0.620233512216192,0.189766487783808,0.123766487783808
"0.7",0.435,80,"0.4","N4",0.963,0.891,0.863136031560365,0.0998639684396346,0.0278639684396347
"0.7",0.5291,80,"0.6","N4",0.966,0.987,0.954206873280354,0.0117931267196458,0.0327931267196458
"0.7",0.6008,80,"0.8","N4",0.991,0.998,0.983765886027315,0.00723411397268547,0.0142341139726855
"0.7",-0.0028,110,"0","N4",0.012,0.026,0.0479010751359831,-0.0359010751359831,-0.0219010751359831
"0.7",0.3133,110,"0.2","N4",0.908,0.793,0.74902403258909,0.15897596741091,0.0439759674109096
"0.7",0.4324,110,"0.4","N4",0.992,0.9,0.939661153812526,0.0523388461874736,-0.0396611538125263
"0.7",0.5137,110,"0.6","N4",0.993,0.996,0.984340181142773,0.00865981885722744,0.0116598188572274
"0.7",0.5911,110,"0.8","N4",1,1,0.996786919673523,0.00321308032647671,0.00321308032647671
"0",0.0044,20,"0","N6",0.037,0.003,0.0514256255454962,-0.0144256255454962,-0.0484256255454962
"0",-0.0164,20,"0.2","N6",0.011,0.023,0.044961873300681,-0.033961873300681,-0.021961873300681
"0",5e-04,20,"0.4","N6",0.03,0.027,0.0501603986209764,-0.0201603986209764,-0.0231603986209764
"0",0.0049,20,"0.6","N6",0.03,0.044,0.0515896535300304,-0.0215896535300304,-0.00758965353003042
"0",0.0132,20,"0.8","N6",0.054,0.063,0.0543737322487676,-0.000373732248767626,0.00862626775123237
"0",-0.0077,50,"0","N6",0.04,0.015,0.0461789517350493,-0.00617895173504927,-0.0311789517350493
"0",-0.0094,50,"0.2","N6",0.01,0.04,0.0453677798468892,-0.0353677798468892,-0.00536777984688922
"0",-0.003,50,"0.4","N6",0.023,0.051,0.0484823339507656,-0.0254823339507656,0.00251766604923438
"0",0.0157,50,"0.6","N6",0.039,0.059,0.0585697600031645,-0.0195697600031645,0.000430239996835502
"0",0.0086,50,"0.8","N6",0.06,0.066,0.0545612790864234,0.00543872091357661,0.0114387209135766
"0",-0.0056,80,"0","N6",0.032,0.009,0.0464670017187219,-0.0144670017187219,-0.0374670017187219
"0",0.004,80,"0.2","N6",0.009,0.044,0.0526522911583864,-0.0436522911583864,-0.00865229115838644
"0",-0.0056,80,"0.4","N6",0.019,0.051,0.0464670017187219,-0.0274670017187219,0.00453299828127813
"0",0.0092,80,"0.6","N6",0.044,0.059,0.0562657974947889,-0.0122657974947889,0.00273420250521111
"0",0.0019,80,"0.8","N6",0.041,0.043,0.0512462443534359,-0.0102462443534359,-0.00824624435343595
"0",-0.0014,110,"0","N6",0.02,0.016,0.0489415481058668,-0.0289415481058668,-0.0329415481058668
"0",-0.0043,110,"0.2","N6",0.015,0.043,0.0468060112862064,-0.0318060112862064,-0.00380601128620643
"0",-0.0017,110,"0.4","N6",0.021,0.035,0.0487170827457398,-0.0277170827457398,-0.0137170827457398
"0",0.0025,110,"0.6","N6",0.039,0.051,0.0519354233454602,-0.0129354233454602,-0.0009354233454602
"0",-4e-04,110,"0.8","N6",0.044,0.048,0.0496957391900033,-0.00569573919000325,-0.00169573919000325
"0.3",-7e-04,20,"0","N6",0.04,0.002,0.0497761292479744,-0.00977612924797436,-0.0477761292479744
"0.3",0.1354,20,"0.2","N6",0.045,0.076,0.110426922804357,-0.0654269228043567,-0.0344269228043567
"0.3",0.1844,20,"0.4","N6",0.107,0.145,0.141845709173815,-0.0348457091738151,0.00315429082618487
"0.3",0.2336,20,"0.6","N6",0.173,0.193,0.178982017583802,-0.00598201758380196,0.0140179824161981
"0.3",0.2393,20,"0.8","N6",0.196,0.215,0.183648498060673,0.0123515019393273,0.0313515019393273
"0.3",-0.0066,50,"0","N6",0.041,0.004,0.0467100059862365,-0.00571000598623653,-0.0427100059862365
"0.3",0.1343,50,"0.2","N6",0.105,0.231,0.164041638869946,-0.0590416388699458,0.0669583611300542
"0.3",0.1939,50,"0.4","N6",0.251,0.359,0.247606386569371,0.00339361343062938,0.111393613430629
"0.3",0.2382,50,"0.6","N6",0.349,0.411,0.32201397729113,0.0269860227088703,0.0889860227088703
"0.3",0.2615,50,"0.8","N6",0.401,0.417,0.364528020305439,0.0364719796945606,0.0524719796945606
"0.3",0.0013,80,"0","N6",0.032,0.016,0.0508500514077108,-0.0188500514077108,-0.0348500514077108
"0.3",0.1284,80,"0.2","N6",0.144,0.343,0.201505710258423,-0.0575057102584231,0.141494289741577
"0.3",0.1872,80,"0.4","N6",0.341,0.497,0.320620082072895,0.0203799179271046,0.176379917927105
"0.3",0.2339,80,"0.6","N6",0.486,0.57,0.431767307465354,0.0542326925346458,0.138232692534646
"0.3",0.2698,80,"0.8","N6",0.569,0.594,0.521611938998076,0.0473880610019241,0.0723880610019241
"0.3",0.0078,110,"0","N6",0.027,0.022,0.0562352044317528,-0.0292352044317528,-0.0342352044317528
"0.3",0.1329,110,"0.2","N6",0.228,0.452,0.253890047578344,-0.0258900475783438,0.198109952421656
"0.3",0.185,110,"0.4","N6",0.466,0.615,0.390845919252392,0.0751540807476082,0.224154080747608
"0.3",0.2288,110,"0.6","N6",0.596,0.698,0.518625536207834,0.0773744637921664,0.179374463792166
"0.3",0.2653,110,"0.8","N6",0.685,0.713,0.624208596564951,0.0607914034350487,0.0887914034350487
"0.5",0.0059,20,"0","N6",0.035,0.008,0.0519189570887929,-0.0169189570887929,-0.0439189570887929
"0.5",0.2117,20,"0.2","N6",0.095,0.176,0.161754947635636,-0.0667549476356364,0.0142450523643636
"0.5",0.3283,20,"0.4","N6",0.219,0.308,0.265940766879974,-0.0469407668799738,0.0420592331200262
"0.5",0.3736,20,"0.6","N6",0.365,0.402,0.31403195012259,0.0509680498774099,0.0879680498774099
"0.5",0.445,20,"0.8","N6",0.441,0.458,0.396380872887335,0.0446191271126652,0.0616191271126652
"0.5",0.0119,50,"0","N6",0.037,0.016,0.0563965379446899,-0.0193965379446899,-0.0403965379446899
"0.5",0.2284,50,"0.2","N6",0.29,0.512,0.304768271585789,-0.0147682715857895,0.207231728414211
"0.5",0.3159,50,"0.4","N6",0.545,0.648,0.469603015544183,0.0753969844558174,0.178396984455817
"0.5",0.3707,50,"0.6","N6",0.695,0.746,0.577628035042609,0.117371964957391,0.168371964957391
"0.5",0.4314,50,"0.8","N6",0.767,0.792,0.690482249537468,0.0765177504625316,0.101517750462532
"0.5",0.0013,80,"0","N6",0.029,0.008,0.0508500514077108,-0.0218500514077108,-0.0428500514077108
"0.5",0.2231,80,"0.2","N6",0.445,0.667,0.405208379471423,0.0397916205285769,0.261791620528577
"0.5",0.3172,80,"0.4","N6",0.76,0.825,0.63784126314328,0.12215873685672,0.18715873685672
"0.5",0.3785,80,"0.6","N6",0.875,0.912,0.769961705379338,0.105038294620662,0.142038294620662
"0.5",0.4348,80,"0.8","N6",0.913,0.928,0.862859810760646,0.050140189239354,0.0651401892393541
"0.5",-0.0061,110,"0","N6",0.039,0.019,0.0455185415836069,-0.00651854158360691,-0.0265185415836069
"0.5",0.2182,110,"0.2","N6",0.608,0.758,0.487370454771672,0.120629545228328,0.270629545228328
"0.5",0.3092,110,"0.4","N6",0.875,0.874,0.739274398476806,0.135725601523194,0.134725601523194
