"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0.5",0.4774,20,"0","N2",0.217,0.125,0.435607887340286,-0.218607887340286,-0.310607887340286
"0.5",0.4896,20,"0.2","N2",0.231,0.273,0.45056640740693,-0.21956640740693,-0.17756640740693
"0.5",0.4841,20,"0.4","N2",0.271,0.334,0.443812830145825,-0.172812830145825,-0.109812830145825
"0.5",0.4765,20,"0.6","N2",0.317,0.301,0.434507756283462,-0.117507756283462,-0.133507756283462
"0.5",0.4695,20,"0.8","N2",0.337,0.24,0.425969100240711,-0.0889691002407106,-0.185969100240711
"0.5",0.4741,50,"0","N2",0.624,0.257,0.76090924023949,-0.13690924023949,-0.50390924023949
"0.5",0.4824,50,"0.2","N2",0.66,0.497,0.773505448100628,-0.113505448100628,-0.276505448100628
"0.5",0.4927,50,"0.4","N2",0.7,0.472,0.788602587294825,-0.0886025872948247,-0.316602587294825
"0.5",0.4894,50,"0.6","N2",0.691,0.458,0.783830967304746,-0.0928309673047464,-0.325830967304746
"0.5",0.4846,50,"0.8","N2",0.746,0.419,0.776780269089579,-0.0307802690895791,-0.357780269089579
"0.5",0.4832,80,"0","N2",0.878,0.304,0.9189503527912,-0.0409503527912002,-0.6149503527912
"0.5",0.4899,80,"0.2","N2",0.888,0.506,0.925099879409147,-0.0370998794091473,-0.419099879409147
"0.5",0.4832,80,"0.4","N2",0.883,0.47,0.9189503527912,-0.0359503527912002,-0.4489503527912
"0.5",0.4797,80,"0.6","N2",0.882,0.49,0.915590033791983,-0.0335900337919827,-0.425590033791983
"0.5",0.4852,80,"0.8","N2",0.904,0.486,0.920824657779841,-0.0168246577798409,-0.434824657779841
"0.5",0.486,110,"0","N2",0.948,0.359,0.974304570608645,-0.0263045706086447,-0.615304570608645
"0.5",0.4862,110,"0.2","N2",0.962,0.479,0.974392869663245,-0.0123928696632447,-0.495392869663245
"0.5",0.4879,110,"0.4","N2",0.961,0.513,0.975133203393345,-0.0141332033933455,-0.462133203393345
"0.5",0.4768,110,"0.6","N2",0.961,0.509,0.969958616301011,-0.0089586163010108,-0.460958616301011
"0.5",0.4893,110,"0.8","N2",0.976,0.519,0.97572933401181,0.000270665988189922,-0.45672933401181
"0.7",0.6592,20,"0","N2",0.489,0.213,0.656297536252602,-0.167297536252602,-0.443297536252602
"0.7",0.6652,20,"0.2","N2",0.523,0.378,0.663125375243829,-0.140125375243829,-0.285125375243829
