"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0",-0.0112,50,"0","N8",0.002,0.002,0.0445214244863517,-0.0425214244863517,-0.0425214244863517
"0",0.01,50,"0.2","N8",0.021,0.004,0.0553340219527986,-0.0343340219527986,-0.0513340219527986
"0",0.0089,50,"0.4","N8",0.042,0.007,0.0547261443569442,-0.0127261443569442,-0.0477261443569442
"0",-0.0031,50,"0.6","N8",0.056,0.017,0.0484323866227812,0.00756761337721885,-0.0314323866227812
"0",-0.0043,50,"0.8","N8",0.037,0.017,0.0478362229267827,-0.0108362229267827,-0.0308362229267827
"0",-0.0022,80,"0","N8",0.005,0.003,0.0485873026716584,-0.0435873026716585,-0.0455873026716584
"0",-9e-04,80,"0.2","N8",0.02,0.007,0.0494181691856134,-0.0294181691856134,-0.0424181691856134
"0",0.0039,80,"0.4","N8",0.043,0.012,0.0525846494644444,-0.00958464946444441,-0.0405846494644444
"0",-0.0033,80,"0.6","N8",0.053,0.02,0.0478930185324075,0.00510698146759254,-0.0278930185324075
"0",0.0055,80,"0.8","N8",0.056,0.028,0.0536752243376437,0.00232477566235629,-0.0256752243376437
"0",-0.0057,110,"0","N8",0.006,0,0.045802156955662,-0.039802156955662,-0.045802156955662
"0",-0.0034,110,"0.2","N8",0.013,0.008,0.0474606133903381,-0.0344606133903381,-0.0394606133903381
"0",-0.0021,110,"0.4","N8",0.023,0.005,0.0484190764832563,-0.0254190764832563,-0.0434190764832563
"0",-0.0085,110,"0.6","N8",0.044,0.017,0.0438463799238825,0.000153620076117481,-0.0268463799238825
"0",-4e-04,110,"0.8","N8",0.048,0.03,0.0496957391900033,-0.00169573919000325,-0.0196957391900033
"0.3",0.2897,20,"0","N8",0.296,0.063,0.228131072094484,0.0678689279055156,-0.165131072094484
"0.3",0.2915,20,"0.2","N8",0.325,0.06,0.229824324299035,0.095175675700965,-0.169824324299035
"0.3",0.2891,20,"0.4","N8",0.291,0.084,0.227568216871009,0.0634317831289911,-0.143568216871009
"0.3",0.3006,20,"0.6","N8",0.304,0.11,0.238491464337165,0.0655085356628346,-0.128491464337165
"0.3",0.2972,20,"0.8","N8",0.225,0.155,0.235232427520239,-0.0102324275202394,-0.0802324275202394
"0.3",0.295,50,"0","N8",0.772,0.194,0.428559497338362,0.343440502661639,-0.234559497338362
"0.3",0.3081,50,"0.2","N8",0.693,0.223,0.454223681282026,0.238776318717974,-0.231223681282026
"0.3",0.3134,50,"0.4","N8",0.65,0.283,0.464667690769716,0.185332309230284,-0.181667690769716
"0.3",0.3004,50,"0.6","N8",0.552,0.297,0.439108427089187,0.112891572910813,-0.142108427089187
"0.3",0.2954,50,"0.8","N8",0.462,0.35,0.429339247762957,0.0326607522370434,-0.0793392477629566
"0.3",0.3049,80,"0","N8",0.938,0.368,0.608432959346835,0.329567040653165,-0.240432959346835
"0.3",0.2967,80,"0.2","N8",0.866,0.396,0.588465245193253,0.277534754806747,-0.192465245193253
"0.3",0.2998,80,"0.4","N8",0.816,0.417,0.596044010756631,0.219955989243368,-0.179044010756632
"0.3",0.3022,80,"0.6","N8",0.756,0.49,0.601886936070803,0.154113063929197,-0.111886936070803
"0.3",0.2949,80,"0.8","N8",0.64,0.49,0.584049280084999,0.0559507199150014,-0.0940492800849986
"0.3",0.2875,110,"0","N8",0.995,0.522,0.684627985900704,0.310372014099296,-0.162627985900704
"0.3",0.2952,110,"0.2","N8",0.964,0.535,0.70457570926366,0.25942429073634,-0.16957570926366
"0.3",0.3004,110,"0.4","N8",0.908,0.575,0.717709584505483,0.190290415494517,-0.142709584505484
"0.3",0.2903,110,"0.6","N8",0.859,0.557,0.691948340989991,0.167051659010009,-0.134948340989991
"0.3",0.2938,110,"0.8","N8",0.759,0.641,0.700992225888749,0.0580077741112507,-0.0599922258887493
"0.5",0.4774,20,"0","N8",0.783,0.217,0.435607887340286,0.347392112659714,-0.218607887340286
"0.5",0.4896,20,"0.2","N8",0.684,0.231,0.45056640740693,0.23343359259307,-0.21956640740693
"0.5",0.4841,20,"0.4","N8",0.656,0.271,0.443812830145825,0.212187169854175,-0.172812830145825
"0.5",0.4765,20,"0.6","N8",0.62,0.317,0.434507756283462,0.185492243716538,-0.117507756283462
"0.5",0.4695,20,"0.8","N8",0.453,0.337,0.425969100240711,0.0270308997592894,-0.0889691002407106
"0.5",0.4741,50,"0","N8",0.997,0.624,0.76090924023949,0.23609075976051,-0.13690924023949
"0.5",0.4824,50,"0.2","N8",0.973,0.66,0.773505448100628,0.199494551899372,-0.113505448100628
"0.5",0.4927,50,"0.4","N8",0.961,0.7,0.788602587294825,0.172397412705175,-0.0886025872948247
"0.5",0.4894,50,"0.6","N8",0.914,0.691,0.783830967304746,0.130169032695254,-0.0928309673047464
"0.5",0.4846,50,"0.8","N8",0.86,0.746,0.776780269089579,0.0832197309104209,-0.0307802690895791
"0.5",0.4832,80,"0","N8",1,0.878,0.9189503527912,0.0810496472087998,-0.0409503527912002
"0.5",0.4899,80,"0.2","N8",1,0.888,0.925099879409147,0.0749001205908527,-0.0370998794091473
"0.5",0.4832,80,"0.4","N8",0.994,0.883,0.9189503527912,0.0750496472087998,-0.0359503527912002
"0.5",0.4797,80,"0.6","N8",0.992,0.882,0.915590033791983,0.0764099662080173,-0.0335900337919827
"0.5",0.4852,80,"0.8","N8",0.959,0.904,0.920824657779841,0.0381753422201591,-0.0168246577798409
"0.5",0.486,110,"0","N8",1,0.948,0.974304570608645,0.0256954293913554,-0.0263045706086447
"0.5",0.4862,110,"0.2","N8",1,0.962,0.974392869663245,0.0256071303367553,-0.0123928696632447
"0.5",0.4879,110,"0.4","N8",0.999,0.961,0.975133203393345,0.0238667966066546,-0.0141332033933455
"0.5",0.4768,110,"0.6","N8",0.999,0.961,0.969958616301011,0.0290413836989892,-0.0089586163010108
"0.5",0.4893,110,"0.8","N8",0.992,0.976,0.97572933401181,0.0162706659881899,0.000270665988189922
"0.7",0.6592,20,"0","N8",0.986,0.489,0.656297536252602,0.329702463747398,-0.167297536252602
"0.7",0.6652,20,"0.2","N8",0.94,0.523,0.663125375243829,0.276874624756171,-0.140125375243829
"0.7",0.6636,20,"0.4","N8",0.894,0.533,0.661309756476329,0.232690243523671,-0.128309756476329
"0.7",0.6511,20,"0.6","N8",0.852,0.596,0.646998784480952,0.205001215519048,-0.0509987844809522
"0.7",0.6594,20,"0.8","N8",0.753,0.626,0.656525970130792,0.0964740298692082,-0.0305259701307918
"0.7",0.6548,50,"0","N8",1,0.944,0.945908802728824,0.0540911972711764,-0.00190880272882366
"0.7",0.6639,50,"0.2","N8",1,0.928,0.950691722104846,0.0493082778951541,-0.0226917221048458
"0.7",0.6597,50,"0.4","N8",1,0.937,0.948527932180291,0.0514720678197089,-0.011527932180291
"0.7",0.6618,50,"0.6","N8",0.999,0.948,0.949619083506318,0.0493809164936817,-0.00161908350631834
"0.7",0.6626,50,"0.8","N8",0.98,0.954,0.950029879826541,0.0299701201734588,0.00397012017345877
"0.7",0.6601,80,"0","N8",1,0.992,0.993997882013872,0.00600211798612849,-0.00199788201387152
"0.7",0.6609,80,"0.2","N8",1,0.995,0.994083024195344,0.00591697580465556,0.000916975804655551
"0.7",0.659,80,"0.4","N8",1,0.992,0.993879038674307,0.00612096132569317,-0.00187903867430683
"0.7",0.6591,80,"0.6","N8",1,0.992,0.993889928117923,0.00611007188207657,-0.00188992811792343
"0.7",0.6626,80,"0.8","N8",0.999,0.996,0.994260403473486,0.00473959652651434,0.00173959652651434
"0.7",0.6601,110,"0","N8",1,0.997,0.99939246473296,0.000607535267040382,-0.00239246473295962
"0.7",0.6625,110,"0.2","N8",1,1,0.999429156441227,0.000570843558773459,0.000570843558773459
"0.7",0.654,110,"0.4","N8",1,1,0.999289181537576,0.000710818462424267,0.000710818462424267
"0.7",0.6508,110,"0.6","N8",1,0.999,0.999228743746643,0.0007712562533575,-0.000228743746642501
"0.7",0.659,110,"0.8","N8",1,1,0.999374930030727,0.000625069969272807,0.000625069969272807
"0",0.0101,20,"0","N10",0.011,0.021,0.0533203055762171,-0.0423203055762171,-0.0323203055762171
"0",-0.011,20,"0.2","N10",0.026,0.026,0.0465735901212763,-0.0205735901212763,-0.0205735901212763
"0",-0.0063,20,"0.4","N10",0.049,0.03,0.0480138195608516,0.000986180439148401,-0.0180138195608516
"0",0.0053,20,"0.6","N10",0.032,0.044,0.0517211751504409,-0.0197211751504409,-0.00772117515044095
"0",-0.0122,20,"0.8","N10",0.031,0.048,0.0462114821780863,-0.0152114821780863,0.00178851782191365
"0",-0.0112,50,"0","N10",0.008,0.016,0.0445214244863517,-0.0365214244863517,-0.0285214244863517
"0",0.01,50,"0.2","N10",0.032,0.026,0.0553340219527986,-0.0233340219527986,-0.0293340219527986
"0",0.0089,50,"0.4","N10",0.059,0.04,0.0547261443569442,0.00427385564305577,-0.0147261443569442
"0",-0.0031,50,"0.6","N10",0.047,0.048,0.0484323866227812,-0.00143238662278115,-0.000432386622781153
"0",-0.0043,50,"0.8","N10",0.035,0.048,0.0478362229267827,-0.0128362229267827,0.000163777073217311
"0",-0.0022,80,"0","N10",0.008,0.011,0.0485873026716584,-0.0405873026716584,-0.0375873026716585
"0",-9e-04,80,"0.2","N10",0.032,0.025,0.0494181691856134,-0.0174181691856134,-0.0244181691856134
"0",0.0039,80,"0.4","N10",0.057,0.037,0.0525846494644444,0.00441535053555559,-0.0155846494644444
"0",-0.0033,80,"0.6","N10",0.046,0.048,0.0478930185324075,-0.00189301853240746,0.00010698146759254
"0",0.0055,80,"0.8","N10",0.054,0.071,0.0536752243376437,0.000324775662356287,0.0173247756623563
"0",-0.0057,110,"0","N10",0.014,0.009,0.045802156955662,-0.031802156955662,-0.036802156955662
"0",-0.0034,110,"0.2","N10",0.028,0.02,0.0474606133903381,-0.0194606133903381,-0.0274606133903381
"0",-0.0021,110,"0.4","N10",0.032,0.028,0.0484190764832563,-0.0164190764832563,-0.0204190764832563
"0",-0.0085,110,"0.6","N10",0.034,0.039,0.0438463799238825,-0.00984637992388251,-0.00484637992388252
"0",-4e-04,110,"0.8","N10",0.046,0.064,0.0496957391900033,-0.00369573919000325,0.0143042608099967
"0.3",0.2897,20,"0","N10",0.454,0.244,0.228131072094484,0.225868927905516,0.0158689279055156
"0.3",0.2915,20,"0.2","N10",0.419,0.254,0.229824324299035,0.189175675700965,0.024175675700965
"0.3",0.2891,20,"0.4","N10",0.369,0.244,0.227568216871009,0.141431783128991,0.0164317831289911
"0.3",0.3006,20,"0.6","N10",0.266,0.278,0.238491464337165,0.0275085356628346,0.0395085356628346
"0.3",0.2972,20,"0.8","N10",0.223,0.249,0.235232427520239,-0.0122324275202394,0.0137675724797606
"0.3",0.295,50,"0","N10",0.888,0.572,0.428559497338362,0.459440502661638,0.143440502661638
"0.3",0.3081,50,"0.2","N10",0.785,0.573,0.454223681282026,0.330776318717974,0.118776318717974
"0.3",0.3134,50,"0.4","N10",0.722,0.575,0.464667690769716,0.257332309230284,0.110332309230284
"0.3",0.3004,50,"0.6","N10",0.53,0.492,0.439108427089187,0.0908915729108134,0.0528915729108134
"0.3",0.2954,50,"0.8","N10",0.457,0.521,0.429339247762957,0.0276607522370434,0.0916607522370434
"0.3",0.3049,80,"0","N10",0.976,0.809,0.608432959346835,0.367567040653165,0.200567040653165
"0.3",0.2967,80,"0.2","N10",0.916,0.785,0.588465245193253,0.327534754806747,0.196534754806747
"0.3",0.2998,80,"0.4","N10",0.864,0.742,0.596044010756631,0.267955989243368,0.145955989243369
"0.3",0.3022,80,"0.6","N10",0.732,0.702,0.601886936070803,0.130113063929197,0.100113063929197
"0.3",0.2949,80,"0.8","N10",0.629,0.656,0.584049280084999,0.0449507199150014,0.0719507199150015
"0.3",0.2875,110,"0","N10",1,0.939,0.684627985900704,0.315372014099296,0.254372014099296
"0.3",0.2952,110,"0.2","N10",0.987,0.896,0.70457570926366,0.28242429073634,0.19142429073634
"0.3",0.3004,110,"0.4","N10",0.933,0.858,0.717709584505483,0.215290415494517,0.140290415494516
"0.3",0.2903,110,"0.6","N10",0.837,0.797,0.691948340989991,0.145051659010009,0.105051659010009
"0.3",0.2938,110,"0.8","N10",0.754,0.778,0.700992225888749,0.0530077741112507,0.0770077741112507
"0.5",0.4774,20,"0","N10",0.923,0.599,0.435607887340286,0.487392112659714,0.163392112659714
"0.5",0.4896,20,"0.2","N10",0.785,0.597,0.45056640740693,0.33443359259307,0.14643359259307
"0.5",0.4841,20,"0.4","N10",0.731,0.558,0.443812830145825,0.287187169854175,0.114187169854175
"0.5",0.4765,20,"0.6","N10",0.587,0.559,0.434507756283462,0.152492243716538,0.124492243716538
"0.5",0.4695,20,"0.8","N10",0.455,0.485,0.425969100240711,0.0290308997592894,0.0590308997592893
"0.5",0.4741,50,"0","N10",1,0.969,0.76090924023949,0.23909075976051,0.20809075976051
"0.5",0.4824,50,"0.2","N10",0.991,0.941,0.773505448100628,0.217494551899372,0.167494551899372
"0.5",0.4927,50,"0.4","N10",0.974,0.925,0.788602587294825,0.185397412705175,0.136397412705175
"0.5",0.4894,50,"0.6","N10",0.904,0.878,0.783830967304746,0.120169032695254,0.0941690326952537
"0.5",0.4846,50,"0.8","N10",0.857,0.869,0.776780269089579,0.0802197309104209,0.0922197309104209
"0.5",0.4832,80,"0","N10",1,1,0.9189503527912,0.0810496472087998,0.0810496472087998
"0.5",0.4899,80,"0.2","N10",1,0.995,0.925099879409147,0.0749001205908527,0.0699001205908527
"0.5",0.4832,80,"0.4","N10",0.996,0.985,0.9189503527912,0.0770496472087998,0.0660496472087998
"0.5",0.4797,80,"0.6","N10",0.991,0.977,0.915590033791983,0.0754099662080173,0.0614099662080173
"0.5",0.4852,80,"0.8","N10",0.954,0.963,0.920824657779841,0.0331753422201591,0.0421753422201591
"0.5",0.486,110,"0","N10",1,1,0.974304570608645,0.0256954293913554,0.0256954293913554
"0.5",0.4862,110,"0.2","N10",1,0.999,0.974392869663245,0.0256071303367553,0.0246071303367553
"0.5",0.4879,110,"0.4","N10",1,0.998,0.975133203393345,0.0248667966066546,0.0228667966066546
"0.5",0.4768,110,"0.6","N10",0.999,0.995,0.969958616301011,0.0290413836989892,0.0250413836989892
"0.5",0.4893,110,"0.8","N10",0.991,0.993,0.97572933401181,0.0152706659881899,0.0172706659881899
"0.7",0.6592,20,"0","N10",0.999,0.912,0.656297536252602,0.342702463747398,0.255702463747398
"0.7",0.6652,20,"0.2","N10",0.97,0.874,0.663125375243829,0.306874624756171,0.210874624756171
"0.7",0.6636,20,"0.4","N10",0.925,0.842,0.661309756476329,0.263690243523671,0.180690243523671
"0.7",0.6511,20,"0.6","N10",0.834,0.806,0.646998784480952,0.187001215519048,0.159001215519048
"0.7",0.6594,20,"0.8","N10",0.75,0.775,0.656525970130792,0.0934740298692082,0.118474029869208
"0.7",0.6548,50,"0","N10",1,1,0.945908802728824,0.0540911972711764,0.0540911972711764
"0.7",0.6639,50,"0.2","N10",1,1,0.950691722104846,0.0493082778951541,0.0493082778951541
"0.7",0.6597,50,"0.4","N10",1,0.994,0.948527932180291,0.0514720678197089,0.0454720678197089
"0.7",0.6618,50,"0.6","N10",0.997,0.997,0.949619083506318,0.0473809164936817,0.0473809164936817
"0.7",0.6626,50,"0.8","N10",0.981,0.982,0.950029879826541,0.0309701201734588,0.0319701201734588
"0.7",0.6601,80,"0","N10",1,1,0.993997882013872,0.00600211798612849,0.00600211798612849
"0.7",0.6609,80,"0.2","N10",1,1,0.994083024195344,0.00591697580465556,0.00591697580465556
"0.7",0.659,80,"0.4","N10",1,1,0.993879038674307,0.00612096132569317,0.00612096132569317
"0.7",0.6591,80,"0.6","N10",1,1,0.993889928117923,0.00611007188207657,0.00611007188207657
"0.7",0.6626,80,"0.8","N10",0.999,0.999,0.994260403473486,0.00473959652651434,0.00473959652651434
"0.7",0.6601,110,"0","N10",1,1,0.99939246473296,0.000607535267040382,0.000607535267040382
"0.7",0.6625,110,"0.2","N10",1,1,0.999429156441227,0.000570843558773459,0.000570843558773459
"0.7",0.654,110,"0.4","N10",1,1,0.999289181537576,0.000710818462424267,0.000710818462424267
"0.7",0.6508,110,"0.6","N10",1,1,0.999228743746643,0.0007712562533575,0.0007712562533575
"0.7",0.659,110,"0.8","N10",1,1,0.999374930030727,0.000625069969272807,0.000625069969272807
"0",0.0101,20,"0","N12",0.018,0,0.0533203055762171,-0.0353203055762171,-0.0533203055762171
"0",-0.011,20,"0.2","N12",0.038,0.001,0.0465735901212763,-0.00857359012127627,-0.0455735901212763
"0",-0.0063,20,"0.4","N12",0.063,0,0.0480138195608516,0.0149861804391484,-0.0480138195608516
"0",0.0053,20,"0.6","N12",0.052,0.006,0.0517211751504409,0.000278824849559052,-0.0457211751504409
"0",-0.0122,20,"0.8","N12",0.032,0.015,0.0462114821780863,-0.0142114821780863,-0.0312114821780863
"0",-0.0112,50,"0","N12",0.016,0,0.0445214244863517,-0.0285214244863517,-0.0445214244863517
"0",0.01,50,"0.2","N12",0.061,0,0.0553340219527986,0.00566597804720143,-0.0553340219527986
"0",0.0089,50,"0.4","N12",0.077,0.001,0.0547261443569442,0.0222738556430558,-0.0537261443569442
"0",-0.0031,50,"0.6","N12",0.056,0.003,0.0484323866227812,0.00756761337721885,-0.0454323866227812
"0",-0.0043,50,"0.8","N12",0.033,0.011,0.0478362229267827,-0.0148362229267827,-0.0368362229267827
"0",-0.0022,80,"0","N12",0.016,0,0.0485873026716584,-0.0325873026716584,-0.0485873026716584
"0",-9e-04,80,"0.2","N12",0.057,0,0.0494181691856134,0.00758183081438663,-0.0494181691856134
"0",0.0039,80,"0.4","N12",0.087,0.002,0.0525846494644444,0.0344153505355556,-0.0505846494644444
"0",-0.0033,80,"0.6","N12",0.055,0.004,0.0478930185324075,0.00710698146759254,-0.0438930185324075
"0",0.0055,80,"0.8","N12",0.05,0.021,0.0536752243376437,-0.00367522433764371,-0.0326752243376437
"0",-0.0057,110,"0","N12",0.024,0,0.045802156955662,-0.021802156955662,-0.045802156955662
"0",-0.0034,110,"0.2","N12",0.043,0,0.0474606133903381,-0.00446061339033814,-0.0474606133903381
"0",-0.0021,110,"0.4","N12",0.044,0.002,0.0484190764832563,-0.00441907648325628,-0.0464190764832563
"0",-0.0085,110,"0.6","N12",0.042,0.006,0.0438463799238825,-0.00184637992388251,-0.0378463799238825
"0",-4e-04,110,"0.8","N12",0.047,0.014,0.0496957391900033,-0.00269573919000325,-0.0356957391900033
"0.3",0.2897,20,"0","N12",0.574,0.003,0.228131072094484,0.345868927905516,-0.225131072094484
"0.3",0.2915,20,"0.2","N12",0.516,0.013,0.229824324299035,0.286175675700965,-0.216824324299035
"0.3",0.2891,20,"0.4","N12",0.426,0.031,0.227568216871009,0.198431783128991,-0.196568216871009
"0.3",0.3006,20,"0.6","N12",0.316,0.047,0.238491464337165,0.0775085356628346,-0.191491464337165
"0.3",0.2972,20,"0.8","N12",0.214,0.101,0.235232427520239,-0.0212324275202394,-0.134232427520239
"0.3",0.295,50,"0","N12",0.947,0.036,0.428559497338362,0.518440502661638,-0.392559497338362
"0.3",0.3081,50,"0.2","N12",0.849,0.078,0.454223681282026,0.394776318717974,-0.376223681282026
"0.3",0.3134,50,"0.4","N12",0.758,0.143,0.464667690769716,0.293332309230284,-0.321667690769716
"0.3",0.3004,50,"0.6","N12",0.568,0.192,0.439108427089187,0.128891572910813,-0.247108427089187
"0.3",0.2954,50,"0.8","N12",0.451,0.258,0.429339247762957,0.0216607522370434,-0.171339247762957
"0.3",0.3049,80,"0","N12",0.991,0.131,0.608432959346835,0.382567040653165,-0.477432959346835
"0.3",0.2967,80,"0.2","N12",0.954,0.203,0.588465245193253,0.365534754806747,-0.385465245193253
"0.3",0.2998,80,"0.4","N12",0.89,0.248,0.596044010756631,0.293955989243369,-0.348044010756631
"0.3",0.3022,80,"0.6","N12",0.774,0.346,0.601886936070803,0.172113063929197,-0.255886936070803
"0.3",0.2949,80,"0.8","N12",0.622,0.41,0.584049280084999,0.0379507199150014,-0.174049280084999
"0.3",0.2875,110,"0","N12",1,0.268,0.684627985900704,0.315372014099296,-0.416627985900704
"0.3",0.2952,110,"0.2","N12",0.991,0.343,0.70457570926366,0.28642429073634,-0.36157570926366
"0.3",0.3004,110,"0.4","N12",0.954,0.404,0.717709584505483,0.236290415494516,-0.313709584505483
"0.3",0.2903,110,"0.6","N12",0.872,0.436,0.691948340989991,0.180051659010009,-0.255948340989991
"0.3",0.2938,110,"0.8","N12",0.757,0.555,0.700992225888749,0.0560077741112507,-0.145992225888749
"0.5",0.4774,20,"0","N12",0.972,0.049,0.435607887340286,0.536392112659714,-0.386607887340286
"0.5",0.4896,20,"0.2","N12",0.848,0.081,0.45056640740693,0.39743359259307,-0.36956640740693
"0.5",0.4841,20,"0.4","N12",0.792,0.13,0.443812830145825,0.348187169854175,-0.313812830145825
"0.5",0.4765,20,"0.6","N12",0.632,0.205,0.434507756283462,0.197492243716538,-0.229507756283462
"0.5",0.4695,20,"0.8","N12",0.447,0.256,0.425969100240711,0.0210308997592893,-0.169969100240711
"0.5",0.4741,50,"0","N12",1,0.386,0.76090924023949,0.23909075976051,-0.37490924023949
"0.5",0.4824,50,"0.2","N12",0.993,0.472,0.773505448100628,0.219494551899372,-0.301505448100628
"0.5",0.4927,50,"0.4","N12",0.981,0.536,0.788602587294825,0.192397412705175,-0.252602587294825
"0.5",0.4894,50,"0.6","N12",0.924,0.569,0.783830967304746,0.140169032695254,-0.214830967304746
"0.5",0.4846,50,"0.8","N12",0.852,0.672,0.776780269089579,0.0752197309104209,-0.104780269089579
"0.5",0.4832,80,"0","N12",1,0.781,0.9189503527912,0.0810496472087998,-0.1379503527912
"0.5",0.4899,80,"0.2","N12",1,0.783,0.925099879409147,0.0749001205908527,-0.142099879409147
"0.5",0.4832,80,"0.4","N12",0.998,0.791,0.9189503527912,0.0790496472087998,-0.1279503527912
"0.5",0.4797,80,"0.6","N12",0.998,0.821,0.915590033791983,0.0824099662080173,-0.0945900337919827
"0.5",0.4852,80,"0.8","N12",0.952,0.861,0.920824657779841,0.0311753422201591,-0.0598246577798409
"0.5",0.486,110,"0","N12",1,0.905,0.974304570608645,0.0256954293913554,-0.0693045706086446
"0.5",0.4862,110,"0.2","N12",1,0.931,0.974392869663245,0.0256071303367553,-0.0433928696632446
"0.5",0.4879,110,"0.4","N12",1,0.933,0.975133203393345,0.0248667966066546,-0.0421332033933454
"0.5",0.4768,110,"0.6","N12",0.999,0.936,0.969958616301011,0.0290413836989892,-0.0339586163010107
"0.5",0.4893,110,"0.8","N12",0.993,0.958,0.97572933401181,0.0172706659881899,-0.0177293340118101
"0.7",0.6592,20,"0","N12",1,0.23,0.656297536252602,0.343702463747398,-0.426297536252602
"0.7",0.6652,20,"0.2","N12",0.985,0.291,0.663125375243829,0.321874624756171,-0.372125375243829
"0.7",0.6636,20,"0.4","N12",0.949,0.375,0.661309756476329,0.287690243523671,-0.286309756476329
"0.7",0.6511,20,"0.6","N12",0.872,0.455,0.646998784480952,0.225001215519048,-0.191998784480952
"0.7",0.6594,20,"0.8","N12",0.749,0.528,0.656525970130792,0.0924740298692082,-0.128525970130792
"0.7",0.6548,50,"0","N12",1,0.887,0.945908802728824,0.0540911972711764,-0.0589088027288236
"0.7",0.6639,50,"0.2","N12",1,0.882,0.950691722104846,0.0493082778951541,-0.0686917221048459
"0.7",0.6597,50,"0.4","N12",1,0.901,0.948527932180291,0.0514720678197089,-0.0475279321802911
"0.7",0.6618,50,"0.6","N12",0.999,0.911,0.949619083506318,0.0493809164936817,-0.0386190835063183
"0.7",0.6626,50,"0.8","N12",0.983,0.932,0.950029879826541,0.0329701201734588,-0.0180298798265411
"0.7",0.6601,80,"0","N12",1,0.988,0.993997882013872,0.00600211798612849,-0.00599788201387152
"0.7",0.6609,80,"0.2","N12",1,0.99,0.994083024195344,0.00591697580465556,-0.00408302419534445
"0.7",0.659,80,"0.4","N12",1,0.99,0.993879038674307,0.00612096132569317,-0.00387903867430683
"0.7",0.6591,80,"0.6","N12",1,0.983,0.993889928117923,0.00611007188207657,-0.0108899281179234
"0.7",0.6626,80,"0.8","N12",0.999,0.991,0.994260403473486,0.00473959652651434,-0.00326040347348566
"0.7",0.6601,110,"0","N12",1,0.997,0.99939246473296,0.000607535267040382,-0.00239246473295962
"0.7",0.6625,110,"0.2","N12",1,1,0.999429156441227,0.000570843558773459,0.000570843558773459
"0.7",0.654,110,"0.4","N12",1,0.998,0.999289181537576,0.000710818462424267,-0.00128918153757573
"0.7",0.6508,110,"0.6","N12",1,0.999,0.999228743746643,0.0007712562533575,-0.000228743746642501
"0.7",0.659,110,"0.8","N12",1,0.999,0.999374930030727,0.000625069969272807,-0.000374930030727194
