"ES","obsES","nsub","corr","N1","N2","N4","N6","N8","N10","N12","PC2","PC4","PC6","PC8","PC10","PC12"
0.5,0.3283,20,0.4,NA,0.098,0.26,0.219,0.318,0.394,0.344,0.267,0.291,0.308,0.098,0.26,0.036
0.5,0.3736,20,0.6,NA,0.189,0.231,0.365,0.349,0.408,0.386,0.368,0.396,0.402,0.189,0.396,0.102
0.5,0.445,20,0.8,NA,0.327,0.356,0.441,0.437,0.488,0.471,0.458,0.462,0.458,0.327,0.469,0.233
0.5,0.0119,50,0,0.053,0.002,0.012,0.037,0.06,0.013,0.024,0.018,0.019,0.016,0.002,0.012,0
0.5,0.2284,50,0.2,NA,0.134,0.351,0.29,0.423,0.541,0.479,0.385,0.454,0.512,0.134,0.351,0.03
0.5,0.3159,50,0.4,NA,0.278,0.575,0.545,0.652,0.725,0.692,0.584,0.621,0.648,0.278,0.575,0.145
0.5,0.3707,50,0.6,NA,0.467,0.543,0.695,0.675,0.739,0.719,0.714,0.737,0.746,0.467,0.714,0.321
0.5,0.4314,50,0.8,NA,0.641,0.68,0.767,0.752,0.797,0.789,0.777,0.787,0.792,0.641,0.777,0.556
0.5,0.0013,80,0,0.044,0.003,0.014,0.029,0.056,0.01,0.023,0.023,0.019,0.008,0.003,0.014,0
0.5,0.2231,80,0.2,NA,0.205,0.508,0.445,0.622,0.725,0.682,0.53,0.636,0.667,0.205,0.508,0.054
0.5,0.3172,80,0.4,NA,0.481,0.774,0.76,0.855,0.902,0.88,0.786,0.821,0.825,0.481,0.774,0.3
0.5,0.3785,80,0.6,NA,0.669,0.761,0.875,0.866,0.901,0.893,0.887,0.913,0.912,0.669,0.873,0.547
0.5,0.4348,80,0.8,NA,0.816,0.863,0.913,0.912,0.929,0.923,0.909,0.926,0.928,0.816,0.912,0.76
0.5,-0.0061,110,0,0.045,0.002,0.015,0.039,0.057,0.009,0.022,0.029,0.022,0.019,0.002,0.015,0
0.5,0.2182,110,0.2,NA,0.267,0.631,0.608,0.75,0.84,0.794,0.639,0.733,0.758,0.267,0.631,0.098
0.5,0.3092,110,0.4,NA,0.63,0.872,0.875,0.935,0.96,0.946,0.847,0.869,0.874,0.63,0.872,0.467
0.5,0.3769,110,0.6,NA,0.806,0.877,0.929,0.934,0.949,0.943,0.948,0.959,0.964,0.806,0.936,0.738
0.5,0.4324,110,0.8,NA,0.913,0.933,0.959,0.961,0.971,0.969,0.965,0.969,0.972,0.913,0.961,0.875
0.7,-0.0072,20,0,0.057,0.004,0.01,0.034,0.058,0.011,0.019,0.014,0.006,0.001,0.004,0.01,0
0.7,0.2961,20,0.2,NA,0.075,0.283,0.217,0.329,0.435,0.359,0.202,0.281,0.302,0.075,0.283,0.012
0.7,0.4415,20,0.4,NA,0.225,0.497,0.455,0.567,0.64,0.586,0.459,0.502,0.518,0.225,0.497,0.091
0.7,0.5238,20,0.6,NA,0.357,0.416,0.564,0.546,0.627,0.603,0.554,0.584,0.582,0.357,0.598,0.253
0.7,0.5856,20,0.8,NA,0.505,0.559,0.638,0.627,0.674,0.665,0.654,0.661,0.668,0.505,0.658,0.421
0.7,-0.005,50,0,0.04,0.003,0.015,0.03,0.057,0.012,0.02,0.025,0.022,0.006,0.003,0.015,0
0.7,0.2942,50,0.2,NA,0.258,0.619,0.58,0.721,0.828,0.77,0.551,0.645,0.686,0.258,0.619,0.087
0.7,0.4361,50,0.4,NA,0.534,0.846,0.839,0.903,0.939,0.925,0.775,0.81,0.817,0.534,0.846,0.358
0.7,0.527,50,0.6,NA,0.783,0.859,0.931,0.929,0.957,0.953,0.919,0.933,0.941,0.783,0.933,0.688
0.7,0.5949,50,0.8,NA,0.888,0.915,0.955,0.954,0.961,0.958,0.952,0.959,0.958,0.888,0.949,0.848
0.7,-0.006,80,0,0.045,0.002,0.011,0.028,0.059,0.009,0.012,0.028,0.016,0.012,0.002,0.011,0
0.7,0.3098,80,0.2,NA,0.411,0.81,0.798,0.895,0.945,0.923,0.71,0.744,0.756,0.411,0.81,0.221
0.7,0.435,80,0.4,NA,0.782,0.963,0.959,0.983,0.989,0.986,0.879,0.891,0.893,0.782,0.963,0.666
0.7,0.5291,80,0.6,NA,0.935,0.966,0.992,0.989,0.992,0.991,0.984,0.987,0.986,0.935,0.99,0.895
0.7,0.6008,80,0.8,NA,0.986,0.991,0.997,0.997,0.998,0.998,0.995,0.998,0.998,0.986,0.996,0.972
0.7,-0.0028,110,0,0.058,0,0.012,0.042,0.067,0.016,0.025,0.045,0.026,0.014,0,0.012,0
0.7,0.3133,110,0.2,NA,0.584,0.908,0.913,0.966,0.986,0.979,0.77,0.793,0.786,0.584,0.908,0.401
0.7,0.4324,110,0.4,NA,0.913,0.992,0.993,0.999,0.999,0.999,0.9,0.9,0.902,0.913,0.992,0.839
0.7,0.5137,110,0.6,NA,0.98,0.993,0.997,0.997,0.999,0.999,0.997,0.996,0.997,0.98,0.998,0.97
0.7,0.5911,110,0.8,NA,1,1,1,1,1,1,1,1,1,1,1,0.999
